restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
5,2021-04-01,3.5,4.9,4.3
5,2021-04-01,3.9,3.6,4.1
5,2021-04-01,3.7,3.6,3.9
5,2021-04-01,4.6,3.6,3.4
5,2021-04-01,3.9,4.1,4.4
5,2021-04-01,4.5,4.0,4.2
5,2021-04-01,5.0,3.4,3.0
5,2021-04-01,4.5,3.6,4.6
5,2021-04-01,3.9,3.5,3.2
5,2021-04-01,4.3,3.8,3.3
5,2021-04-01,4.0,3.8,5.0
5,2021-04-01,3.8,3.4,4.2
5,2021-04-01,5.0,3.9,3.2
5,2021-04-01,3.7,4.2,3.5
5,2021-04-01,4.0,3.8,3.7
5,2021-04-01,3.9,3.3,4.4
5,2021-04-01,4.1,4.0,3.8
5,2021-04-01,4.1,4.1,3.8
5,2021-04-01,4.1,4.3,4.6
5,2021-04-01,4.6,4.6,3.8
5,2021-04-01,4.4,3.4,4.9
5,2021-04-01,3.8,4.5,3.9
5,2021-04-01,4.6,3.7,4.3
5,2021-04-01,4.4,4.3,4.3
5,2021-04-01,3.6,3.8,3.5
5,2021-04-01,3.8,5.0,4.2
5,2021-04-01,3.9,4.2,4.0
5,2021-04-01,3.6,3.6,4.1
5,2021-04-01,4.0,3.1,4.0
5,2021-04-01,4.7,4.6,4.6
5,2021-04-01,3.9,3.8,3.5
5,2021-04-01,4.0,4.3,4.4
5,2021-04-01,4.0,4.1,4.3
5,2021-04-01,4.5,4.2,4.0
5,2021-04-01,4.4,4.2,3.8
5,2021-04-01,4.2,4.5,4.2
5,2021-04-01,4.1,4.2,4.8
5,2021-04-01,4.1,4.5,3.2
5,2021-04-01,4.0,4.7,4.5
5,2021-04-01,3.8,4.2,3.7
5,2021-04-02,3.8,4.5,3.7
5,2021-04-02,3.9,4.0,3.9
5,2021-04-02,4.2,3.9,4.7
5,2021-04-02,4.2,4.5,4.3
5,2021-04-02,4.5,3.8,3.7
5,2021-04-02,3.2,5.0,4.4
5,2021-04-02,4.0,4.5,4.1
5,2021-04-02,4.5,4.7,4.2
5,2021-04-02,3.4,3.3,4.2
5,2021-04-02,4.6,4.2,3.9
5,2021-04-02,3.6,4.7,3.3
5,2021-04-02,4.8,3.4,3.3
5,2021-04-02,4.0,4.3,4.2
5,2021-04-02,4.6,3.4,4.5
5,2021-04-02,5.0,3.9,4.7
5,2021-04-02,3.7,4.5,5.0
5,2021-04-02,4.3,4.1,3.6
5,2021-04-02,4.5,5.0,5.0
5,2021-04-02,4.1,4.4,4.6
5,2021-04-02,3.2,4.0,4.0
5,2021-04-02,3.8,4.1,4.4
5,2021-04-02,4.3,3.6,4.1
5,2021-04-02,4.0,3.7,4.1
5,2021-04-02,4.1,4.2,3.3
5,2021-04-02,4.0,3.6,5.0
5,2021-04-02,3.7,3.8,3.1
5,2021-04-02,4.0,3.6,4.1
5,2021-04-02,4.6,4.5,4.6
5,2021-04-02,3.5,4.0,4.9
5,2021-04-02,4.3,4.2,4.8
5,2021-04-02,3.3,4.2,4.7
5,2021-04-02,4.3,4.2,3.9
5,2021-04-02,4.7,4.4,5.0
5,2021-04-02,3.5,3.5,3.7
5,2021-04-02,3.6,3.9,4.1
5,2021-04-02,4.3,4.3,4.5
5,2021-04-02,4.2,3.5,3.4
5,2021-04-02,3.3,4.9,3.4
5,2021-04-02,3.8,4.9,4.2
5,2021-04-02,4.0,4.6,3.7
5,2021-04-03,4.2,3.9,4.8
5,2021-04-03,3.3,4.4,4.0
5,2021-04-03,3.3,3.9,4.7
5,2021-04-03,3.7,4.6,4.0
5,2021-04-03,4.5,3.5,3.5
5,2021-04-03,4.4,4.0,3.9
5,2021-04-03,4.5,3.2,3.5
5,2021-04-03,4.5,4.1,3.7
5,2021-04-03,3.5,4.2,3.4
5,2021-04-03,5.0,4.1,4.4
5,2021-04-03,4.5,3.5,4.9
5,2021-04-03,3.7,3.8,3.5
5,2021-04-03,3.9,4.6,3.2
5,2021-04-03,3.9,3.9,3.2
5,2021-04-03,3.5,4.0,4.7
5,2021-04-03,4.5,4.0,3.5
5,2021-04-03,4.2,3.7,4.1
5,2021-04-03,4.2,2.7,3.3
5,2021-04-03,3.5,3.5,4.0
5,2021-04-03,4.1,4.4,4.2
5,2021-04-03,3.4,4.2,4.0
5,2021-04-03,4.2,4.5,4.6
5,2021-04-03,4.4,4.1,4.5
5,2021-04-03,4.6,4.1,4.7
5,2021-04-03,4.5,3.9,4.1
5,2021-04-03,4.3,4.3,4.9
5,2021-04-03,3.8,3.7,4.0
5,2021-04-03,3.5,4.3,3.0
5,2021-04-03,3.6,4.5,4.2
5,2021-04-03,3.7,3.9,4.1
5,2021-04-03,3.3,4.2,4.1
5,2021-04-03,3.9,4.8,4.2
5,2021-04-03,4.7,4.3,3.6
5,2021-04-03,3.8,4.3,4.1
5,2021-04-03,4.7,4.1,4.2
5,2021-04-03,4.4,4.1,3.7
5,2021-04-03,4.4,4.2,4.1
5,2021-04-03,4.2,4.0,4.2
5,2021-04-03,3.8,4.0,3.9
5,2021-04-03,4.9,4.2,3.7
5,2021-04-04,3.9,3.9,4.3
5,2021-04-04,4.6,3.7,4.2
5,2021-04-04,3.5,3.3,3.8
5,2021-04-04,4.0,4.6,3.7
5,2021-04-04,3.9,3.6,4.9
5,2021-04-04,4.0,5.0,3.9
5,2021-04-04,5.0,3.3,3.7
5,2021-04-04,4.4,3.9,4.3
5,2021-04-04,3.5,4.2,4.3
5,2021-04-04,5.0,4.7,4.3
5,2021-04-04,4.2,3.9,3.9
5,2021-04-04,3.8,4.4,4.0
5,2021-04-04,4.4,4.2,4.1
5,2021-04-04,3.5,4.2,4.0
5,2021-04-04,4.4,4.5,3.9
5,2021-04-04,3.1,4.3,4.2
5,2021-04-04,3.7,5.0,3.8
5,2021-04-04,4.2,3.8,3.7
5,2021-04-04,4.2,4.3,4.1
5,2021-04-04,4.7,4.9,4.6
5,2021-04-04,4.0,4.6,3.6
5,2021-04-04,3.7,4.5,5.0
5,2021-04-04,4.1,3.8,4.4
5,2021-04-04,3.8,4.5,4.4
5,2021-04-04,5.0,4.2,4.3
5,2021-04-04,4.5,4.6,4.5
5,2021-04-04,4.4,3.7,3.8
5,2021-04-04,4.3,4.0,4.1
5,2021-04-04,4.4,4.3,3.9
5,2021-04-04,4.4,3.7,4.0
5,2021-04-04,4.5,4.1,4.1
5,2021-04-04,3.8,4.2,4.7
5,2021-04-04,4.8,4.0,4.8
5,2021-04-04,5.0,3.1,4.4
5,2021-04-04,4.5,4.0,3.7
5,2021-04-04,4.1,3.4,4.4
5,2021-04-04,4.1,3.9,4.2
5,2021-04-04,4.3,3.9,4.0
5,2021-04-04,3.3,4.1,3.8
5,2021-04-04,4.5,4.6,3.8
5,2021-04-05,4.5,3.9,4.4
5,2021-04-05,3.8,3.9,4.1
5,2021-04-05,4.6,4.3,4.5
5,2021-04-05,4.3,4.0,4.5
5,2021-04-05,3.7,3.8,4.4
5,2021-04-05,3.7,4.5,4.3
5,2021-04-05,3.6,4.4,3.6
5,2021-04-05,3.3,3.5,4.3
5,2021-04-05,4.0,4.5,3.4
5,2021-04-05,4.1,4.9,4.9
5,2021-04-05,3.8,3.4,3.9
5,2021-04-05,3.6,4.5,4.3
5,2021-04-05,4.3,3.6,3.6
5,2021-04-05,5.0,3.8,4.2
5,2021-04-05,3.8,4.0,3.6
5,2021-04-05,3.5,4.0,4.0
5,2021-04-05,4.2,4.6,2.9
5,2021-04-05,4.4,4.2,4.8
5,2021-04-05,4.3,3.7,4.6
5,2021-04-05,4.2,4.4,4.4
5,2021-04-05,3.8,4.5,3.9
5,2021-04-05,3.7,4.6,4.8
5,2021-04-05,3.8,3.5,3.9
5,2021-04-05,4.5,3.8,3.7
5,2021-04-05,4.9,3.7,4.4
5,2021-04-05,3.6,3.8,3.7
5,2021-04-05,4.2,3.7,3.8
5,2021-04-05,4.6,4.2,3.8
5,2021-04-05,4.1,3.9,5.0
5,2021-04-05,3.8,4.2,3.6
5,2021-04-05,4.2,5.0,4.0
5,2021-04-05,3.9,4.1,4.1
5,2021-04-05,4.1,4.5,4.3
5,2021-04-05,4.4,4.3,4.6
5,2021-04-05,4.3,4.4,4.3
5,2021-04-05,3.7,3.3,4.2
5,2021-04-05,5.0,3.7,4.2
5,2021-04-05,3.8,4.1,4.6
5,2021-04-05,4.6,3.9,4.7
5,2021-04-05,3.4,4.1,4.3
5,2021-04-06,4.0,4.5,4.4
5,2021-04-06,3.9,4.0,4.5
5,2021-04-06,4.2,3.8,5.0
5,2021-04-06,4.2,3.8,4.4
5,2021-04-06,5.0,5.0,3.8
5,2021-04-06,4.5,3.9,4.4
5,2021-04-06,3.8,4.4,4.1
5,2021-04-06,4.3,4.1,4.0
5,2021-04-06,4.9,4.0,3.9
5,2021-04-06,3.5,4.2,4.7
5,2021-04-06,4.2,4.1,4.2
5,2021-04-06,4.3,3.9,4.3
5,2021-04-06,4.6,3.1,4.3
5,2021-04-06,3.8,3.5,4.0
5,2021-04-06,3.6,3.5,3.8
5,2021-04-06,5.0,4.2,3.4
5,2021-04-06,4.5,4.8,4.7
5,2021-04-06,4.1,4.7,3.5
5,2021-04-06,4.1,3.9,4.0
5,2021-04-06,3.4,4.8,3.8
5,2021-04-06,4.4,3.7,3.7
5,2021-04-06,4.5,4.3,4.4
5,2021-04-06,4.2,4.7,4.5
5,2021-04-06,3.9,5.0,3.8
5,2021-04-06,4.7,4.3,4.0
5,2021-04-06,4.0,4.3,3.8
5,2021-04-06,4.3,4.1,3.7
5,2021-04-06,3.9,5.0,3.0
5,2021-04-06,4.2,4.1,2.8
5,2021-04-06,4.6,3.7,3.6
5,2021-04-06,4.4,4.9,3.6
5,2021-04-06,4.5,4.9,3.8
5,2021-04-06,3.8,4.3,3.8
5,2021-04-06,4.0,4.2,3.6
5,2021-04-06,4.3,2.9,3.8
5,2021-04-06,5.0,3.9,3.8
5,2021-04-06,4.7,3.2,4.2
5,2021-04-06,4.7,4.0,3.7
5,2021-04-06,3.8,4.6,4.9
5,2021-04-06,3.0,4.0,3.7
5,2021-04-08,4.6,4.0,3.9
5,2021-04-08,3.5,4.0,4.5
5,2021-04-08,4.9,3.8,3.9
5,2021-04-08,3.9,4.3,2.8
5,2021-04-08,4.2,4.6,3.9
5,2021-04-08,4.5,4.9,4.1
5,2021-04-08,4.3,3.6,4.3
5,2021-04-08,3.7,4.5,4.6
5,2021-04-08,3.6,4.7,3.8
5,2021-04-08,2.6,4.6,4.9
5,2021-04-08,4.0,2.6,4.4
5,2021-04-08,3.7,4.5,4.4
5,2021-04-08,4.9,4.7,3.7
5,2021-04-08,4.5,4.3,4.0
5,2021-04-08,3.8,5.0,3.4
5,2021-04-08,3.4,3.4,5.0
5,2021-04-08,4.0,3.1,5.0
5,2021-04-08,4.4,3.9,3.8
5,2021-04-08,3.8,3.8,3.4
5,2021-04-08,4.5,4.5,4.2
5,2021-04-08,3.8,3.5,4.6
5,2021-04-08,4.8,3.5,5.0
5,2021-04-08,4.1,4.5,5.0
5,2021-04-08,3.9,4.1,4.3
5,2021-04-08,3.6,4.5,4.7
5,2021-04-08,4.1,3.8,3.6
5,2021-04-08,3.8,5.0,4.3
5,2021-04-08,3.5,3.6,4.7
5,2021-04-08,3.8,4.2,4.7
5,2021-04-08,4.7,4.1,4.2
5,2021-04-08,3.5,5.0,3.7
5,2021-04-08,4.2,3.6,4.0
5,2021-04-08,3.8,2.4,3.7
5,2021-04-08,4.3,3.6,3.8
5,2021-04-08,4.6,5.0,3.6
5,2021-04-08,4.7,4.1,3.9
5,2021-04-08,4.5,4.7,5.0
5,2021-04-08,3.7,3.7,3.6
5,2021-04-08,3.9,3.9,3.7
5,2021-04-08,3.6,4.1,3.7
5,2021-04-09,4.1,3.4,4.7
5,2021-04-09,3.4,4.0,3.4
5,2021-04-09,3.9,4.7,4.3
5,2021-04-09,4.1,3.8,3.7
5,2021-04-09,5.0,3.4,4.3
5,2021-04-09,3.5,3.2,4.9
5,2021-04-09,3.6,4.4,4.5
5,2021-04-09,4.5,4.0,4.2
5,2021-04-09,4.1,3.5,3.4
5,2021-04-09,4.4,4.6,4.1
5,2021-04-09,4.9,4.3,4.3
5,2021-04-09,4.8,3.8,3.8
5,2021-04-09,4.0,4.5,4.7
5,2021-04-09,4.2,4.1,3.3
5,2021-04-09,3.9,4.3,2.9
5,2021-04-09,3.8,4.4,4.5
5,2021-04-09,4.1,3.7,4.1
5,2021-04-09,4.6,3.7,3.6
5,2021-04-09,3.4,4.5,4.3
5,2021-04-09,4.2,3.8,4.3
5,2021-04-09,4.3,4.2,3.7
5,2021-04-09,3.9,4.6,4.6
5,2021-04-09,4.0,4.8,3.5
5,2021-04-09,4.2,5.0,5.0
5,2021-04-09,4.6,3.2,2.9
5,2021-04-09,3.2,4.5,4.1
5,2021-04-09,4.2,4.2,3.8
5,2021-04-09,4.1,5.0,3.5
5,2021-04-09,4.9,3.7,4.4
5,2021-04-09,3.9,4.6,4.2
5,2021-04-09,3.3,4.2,4.0
5,2021-04-09,4.0,4.8,4.3
5,2021-04-09,4.7,4.4,3.5
5,2021-04-09,4.6,4.7,3.3
5,2021-04-09,5.0,5.0,4.6
5,2021-04-09,5.0,4.5,3.4
5,2021-04-09,4.4,4.7,4.2
5,2021-04-09,4.6,3.9,4.6
5,2021-04-09,4.7,2.8,3.0
5,2021-04-09,4.1,3.8,4.2
5,2021-04-10,4.1,4.5,4.0
5,2021-04-10,4.1,3.7,3.9
5,2021-04-10,3.6,4.1,4.7
5,2021-04-10,2.9,4.4,5.0
5,2021-04-10,5.0,3.7,4.6
5,2021-04-10,4.3,4.0,3.7
5,2021-04-10,3.9,4.6,4.3
5,2021-04-10,5.0,4.3,4.5
5,2021-04-10,4.0,4.0,4.4
5,2021-04-10,4.3,3.8,3.8
5,2021-04-10,3.6,4.3,4.4
5,2021-04-10,3.6,5.0,3.9
5,2021-04-10,3.5,4.1,4.0
5,2021-04-10,3.6,4.8,4.0
5,2021-04-10,3.8,4.5,4.2
5,2021-04-10,4.4,4.2,4.0
5,2021-04-10,3.8,4.5,4.2
5,2021-04-10,3.7,4.2,3.5
5,2021-04-10,4.2,4.3,4.7
5,2021-04-10,4.2,5.0,4.0
5,2021-04-10,3.7,4.5,3.5
5,2021-04-10,5.0,4.4,4.7
5,2021-04-10,3.6,4.0,4.3
5,2021-04-10,4.4,5.0,4.0
5,2021-04-10,3.6,5.0,3.4
5,2021-04-10,3.4,4.4,3.8
5,2021-04-10,4.9,4.5,5.0
5,2021-04-10,3.5,3.3,4.5
5,2021-04-10,4.0,4.2,4.6
5,2021-04-10,4.4,2.9,4.3
5,2021-04-10,4.6,4.7,4.3
5,2021-04-10,4.5,3.6,4.1
5,2021-04-10,4.5,3.8,4.0
5,2021-04-10,4.3,3.9,4.9
5,2021-04-10,4.7,3.5,4.0
5,2021-04-10,4.7,3.3,5.0
5,2021-04-10,4.3,3.9,4.9
5,2021-04-10,4.1,4.7,4.1
5,2021-04-10,3.6,4.2,4.1
5,2021-04-10,3.4,3.1,3.8
5,2021-04-11,5.0,3.7,4.5
5,2021-04-11,4.6,4.6,4.3
5,2021-04-11,5.0,4.4,4.4
5,2021-04-11,4.4,4.3,4.3
5,2021-04-11,4.5,3.9,4.0
5,2021-04-11,4.0,3.8,3.7
5,2021-04-11,3.8,4.5,3.5
5,2021-04-11,4.3,4.3,4.1
5,2021-04-11,4.2,4.4,4.5
5,2021-04-11,3.6,4.1,4.8
5,2021-04-11,5.0,3.6,3.4
5,2021-04-11,3.6,4.2,4.8
5,2021-04-11,4.3,3.9,4.7
5,2021-04-11,4.2,4.7,4.4
5,2021-04-11,3.6,4.4,3.8
5,2021-04-11,3.9,3.9,3.9
5,2021-04-11,3.8,3.8,4.4
5,2021-04-11,3.6,4.3,3.4
5,2021-04-11,4.6,4.9,4.3
5,2021-04-11,4.2,3.7,4.7
5,2021-04-11,4.4,4.1,3.2
5,2021-04-11,4.4,5.0,3.8
5,2021-04-11,5.0,3.5,4.2
5,2021-04-11,4.8,4.3,3.5
5,2021-04-11,4.0,3.8,3.2
5,2021-04-11,3.6,4.2,4.2
5,2021-04-11,4.6,4.8,3.8
5,2021-04-11,4.4,3.4,3.7
5,2021-04-11,3.7,3.8,3.4
5,2021-04-11,4.0,3.7,4.1
5,2021-04-11,4.4,3.5,4.9
5,2021-04-11,3.5,3.9,3.4
5,2021-04-11,4.1,4.4,3.9
5,2021-04-11,4.1,4.6,4.3
5,2021-04-11,3.4,3.9,4.0
5,2021-04-11,4.1,5.0,4.4
5,2021-04-11,4.0,3.1,3.8
5,2021-04-11,4.7,4.2,3.6
5,2021-04-11,3.7,4.3,4.9
5,2021-04-11,4.4,3.3,3.6
5,2021-04-12,4.3,4.2,4.1
5,2021-04-12,4.5,4.0,4.4
5,2021-04-12,4.5,4.8,3.6
5,2021-04-12,3.8,4.3,4.0
5,2021-04-12,3.8,3.5,3.9
5,2021-04-12,3.9,4.0,4.2
5,2021-04-12,3.0,5.0,4.3
5,2021-04-12,4.6,3.6,3.5
5,2021-04-12,4.3,4.3,4.0
5,2021-04-12,4.9,4.4,3.8
5,2021-04-12,4.6,3.9,3.3
5,2021-04-12,4.2,3.8,4.0
5,2021-04-12,3.9,3.8,4.0
5,2021-04-12,4.3,3.9,3.6
5,2021-04-12,3.6,3.7,3.5
5,2021-04-12,5.0,4.3,3.9
5,2021-04-12,4.4,4.5,3.6
5,2021-04-12,3.8,4.0,4.6
5,2021-04-12,3.9,3.5,3.8
5,2021-04-12,4.0,4.2,4.7
5,2021-04-12,4.6,3.5,4.2
5,2021-04-12,4.6,4.6,5.0
5,2021-04-12,3.8,4.3,4.7
5,2021-04-12,4.6,3.7,4.2
5,2021-04-12,4.3,3.9,4.3
5,2021-04-12,3.5,4.6,3.4
5,2021-04-12,3.4,3.5,3.8
5,2021-04-12,4.3,4.6,4.1
5,2021-04-12,3.2,3.7,4.1
5,2021-04-12,3.7,4.1,3.6
5,2021-04-12,4.4,3.8,4.0
5,2021-04-12,3.9,4.0,3.8
5,2021-04-12,4.7,3.4,4.7
5,2021-04-12,4.1,3.5,4.2
5,2021-04-12,4.3,3.7,4.0
5,2021-04-12,4.7,4.0,4.7
5,2021-04-12,4.0,4.1,4.5
5,2021-04-12,3.6,4.1,4.9
5,2021-04-12,4.6,4.8,5.0
5,2021-04-12,4.4,3.7,4.4
5,2021-04-13,3.9,4.2,4.0
5,2021-04-13,4.7,3.5,4.8
5,2021-04-13,5.0,2.3,4.1
5,2021-04-13,4.3,3.7,4.6
5,2021-04-13,3.6,3.6,4.7
5,2021-04-13,4.8,4.3,3.9
5,2021-04-13,3.7,4.7,4.0
5,2021-04-13,3.7,4.2,3.0
5,2021-04-13,3.1,4.2,4.6
5,2021-04-13,3.9,4.3,4.0
5,2021-04-13,3.5,4.4,4.1
5,2021-04-13,4.2,4.0,4.2
5,2021-04-13,4.4,3.5,5.0
5,2021-04-13,4.6,4.5,3.9
5,2021-04-13,3.8,3.9,4.9
5,2021-04-13,4.1,3.1,4.2
5,2021-04-13,3.9,4.3,3.6
5,2021-04-13,3.4,4.1,4.6
5,2021-04-13,4.7,4.2,4.1
5,2021-04-13,4.3,4.1,4.2
5,2021-04-13,3.3,4.7,3.1
5,2021-04-13,4.3,3.3,4.5
5,2021-04-13,4.0,5.0,4.0
5,2021-04-13,3.4,4.4,3.7
5,2021-04-13,5.0,3.6,3.8
5,2021-04-13,4.5,4.3,4.3
5,2021-04-13,3.2,4.1,4.0
5,2021-04-13,5.0,5.0,4.3
5,2021-04-13,3.3,3.9,3.9
5,2021-04-13,5.0,4.7,4.0
5,2021-04-13,3.4,3.7,4.1
5,2021-04-13,4.9,4.6,3.9
5,2021-04-13,3.6,3.2,4.1
5,2021-04-13,4.3,5.0,4.5
5,2021-04-13,4.0,4.1,4.5
5,2021-04-13,4.6,4.3,3.7
5,2021-04-13,4.8,4.5,4.6
5,2021-04-13,3.7,5.0,3.6
5,2021-04-13,3.4,4.0,4.3
5,2021-04-13,4.0,4.5,4.6
5,2021-04-15,4.4,4.1,4.0
5,2021-04-15,3.6,3.6,4.0
5,2021-04-15,4.6,4.5,3.9
5,2021-04-15,3.7,4.1,4.2
5,2021-04-15,4.1,3.8,3.5
5,2021-04-15,4.1,3.9,4.4
5,2021-04-15,4.4,4.6,4.4
5,2021-04-15,5.0,4.4,3.5
5,2021-04-15,4.4,4.4,3.5
5,2021-04-15,3.8,3.6,4.0
5,2021-04-15,4.1,4.5,4.3
5,2021-04-15,4.9,3.7,4.4
5,2021-04-15,4.0,2.9,3.8
5,2021-04-15,4.7,4.3,3.6
5,2021-04-15,4.2,4.5,3.0
5,2021-04-15,4.6,4.6,4.9
5,2021-04-15,4.5,4.2,3.6
5,2021-04-15,4.3,4.2,2.8
5,2021-04-15,4.1,3.7,4.3
5,2021-04-15,4.0,3.9,3.9
5,2021-04-15,4.2,3.2,4.4
5,2021-04-15,3.9,3.7,4.1
5,2021-04-15,3.5,4.3,4.2
5,2021-04-15,3.9,3.7,4.4
5,2021-04-15,4.0,3.8,4.3
5,2021-04-15,4.6,3.8,4.4
5,2021-04-15,4.0,4.7,3.3
5,2021-04-15,3.7,5.0,3.9
5,2021-04-15,5.0,4.3,4.2
5,2021-04-15,4.8,4.0,4.0
5,2021-04-15,3.9,5.0,4.1
5,2021-04-15,4.9,4.3,4.6
5,2021-04-15,3.8,4.0,4.1
5,2021-04-15,4.0,3.1,3.7
5,2021-04-15,4.0,4.7,3.9
5,2021-04-15,4.0,4.7,5.0
5,2021-04-15,4.4,3.7,3.8
5,2021-04-15,4.2,4.5,4.2
