restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
8,2021-10-20,4.8,4.3,3.5
8,2021-10-20,4.2,4.3,4.9
8,2021-10-20,3.9,3.6,4.3
8,2021-10-20,4.7,4.0,4.5
8,2021-10-20,4.2,3.9,4.1
8,2021-10-22,4.2,4.2,4.4
8,2021-10-22,4.3,3.1,3.7
8,2021-10-22,4.1,4.8,3.6
8,2021-10-22,4.3,4.1,4.3
8,2021-10-22,4.2,3.8,4.0
8,2021-10-22,3.5,3.6,4.3
8,2021-10-22,4.4,4.9,4.3
8,2021-10-22,3.7,4.2,4.3
8,2021-10-22,4.2,3.6,4.5
8,2021-10-22,4.9,4.8,4.3
8,2021-10-22,3.7,3.8,3.5
8,2021-10-22,3.6,4.2,3.9
8,2021-10-22,3.7,3.9,3.0
8,2021-10-22,4.3,3.6,4.0
8,2021-10-22,4.8,4.3,4.1
8,2021-10-22,4.1,5.0,2.9
8,2021-10-22,4.7,4.4,4.2
8,2021-10-22,3.7,4.0,4.1
8,2021-10-22,4.2,4.0,4.2
8,2021-10-22,4.3,3.8,3.6
8,2021-10-22,4.7,4.6,4.6
8,2021-10-22,4.2,4.4,4.4
8,2021-10-22,3.8,3.5,3.7
8,2021-10-22,4.6,4.8,3.6
8,2021-10-22,3.9,4.6,4.2
8,2021-10-22,3.8,5.0,2.8
8,2021-10-22,3.8,4.4,3.7
8,2021-10-22,4.3,3.4,4.1
8,2021-10-22,3.9,3.8,4.4
8,2021-10-22,3.9,4.8,4.4
8,2021-10-22,4.0,4.5,4.2
8,2021-10-22,4.1,4.2,4.0
8,2021-10-22,4.8,4.2,4.3
8,2021-10-22,4.9,3.5,5.0
8,2021-10-22,5.0,4.0,3.3
8,2021-10-22,3.6,3.8,4.1
8,2021-10-22,4.3,3.9,4.4
8,2021-10-22,3.8,4.2,4.1
8,2021-10-22,3.8,4.9,3.8
8,2021-10-22,4.1,3.3,3.0
8,2021-10-22,4.0,4.1,3.8
8,2021-10-22,3.9,3.5,4.3
8,2021-10-22,4.5,4.2,3.6
8,2021-10-22,4.1,3.9,3.7
8,2021-10-22,3.1,5.0,4.4
8,2021-10-22,4.2,3.3,4.7
8,2021-10-22,3.9,4.2,4.0
8,2021-10-22,4.1,2.6,3.0
8,2021-10-22,4.7,3.4,5.0
8,2021-10-22,3.4,3.4,4.9
8,2021-10-22,4.4,5.0,3.3
8,2021-10-22,3.8,4.4,2.5
8,2021-10-22,4.7,4.6,4.6
8,2021-10-22,5.0,4.4,4.6
8,2021-10-22,5.0,3.9,4.3
8,2021-10-22,4.0,3.9,4.6
8,2021-10-22,4.5,3.8,3.4
8,2021-10-22,5.0,3.5,4.2
8,2021-10-23,4.3,4.6,4.3
8,2021-10-23,3.3,4.6,3.6
8,2021-10-23,4.4,3.9,4.0
8,2021-10-23,4.7,3.0,4.2
8,2021-10-23,4.0,4.8,4.1
8,2021-10-23,3.1,4.3,3.9
8,2021-10-23,4.2,4.3,3.9
8,2021-10-23,4.0,4.1,4.1
8,2021-10-23,3.5,3.4,3.8
8,2021-10-23,4.1,4.9,4.6
8,2021-10-23,4.5,4.2,4.0
8,2021-10-23,4.5,4.4,3.9
8,2021-10-23,4.2,4.0,4.2
8,2021-10-23,3.2,3.4,3.6
8,2021-10-23,4.6,4.6,4.3
8,2021-10-23,4.0,3.8,3.6
8,2021-10-23,4.1,4.8,3.8
8,2021-10-23,4.0,4.1,4.3
8,2021-10-23,3.4,4.0,3.0
8,2021-10-23,3.5,4.3,3.7
8,2021-10-23,4.1,4.3,3.3
8,2021-10-23,3.5,3.9,5.0
8,2021-10-23,3.4,4.1,4.6
8,2021-10-23,3.8,3.9,3.6
8,2021-10-23,4.8,3.2,4.7
8,2021-10-23,4.6,4.2,4.0
8,2021-10-23,4.3,4.3,4.0
8,2021-10-23,3.6,4.7,4.3
8,2021-10-23,4.1,4.1,3.9
8,2021-10-23,3.2,4.3,4.4
8,2021-10-23,3.4,4.2,4.0
8,2021-10-23,3.9,4.2,3.9
8,2021-10-23,3.8,3.1,4.8
8,2021-10-23,4.3,4.8,3.4
8,2021-10-23,2.8,4.9,4.2
8,2021-10-23,3.5,4.2,4.3
8,2021-10-23,3.9,3.8,4.1
8,2021-10-23,4.3,3.9,4.7
8,2021-10-23,5.0,4.3,3.5
8,2021-10-23,4.5,5.0,4.6
8,2021-10-23,3.8,3.2,4.4
8,2021-10-23,4.7,4.5,4.6
8,2021-10-23,4.0,3.8,4.8
8,2021-10-23,4.0,3.8,3.6
8,2021-10-23,3.6,4.0,3.6
8,2021-10-23,3.4,3.4,3.9
8,2021-10-23,4.7,4.0,4.7
8,2021-10-23,4.2,3.9,4.8
8,2021-10-23,3.3,3.7,3.0
8,2021-10-23,4.5,3.7,4.8
8,2021-10-23,3.7,3.6,4.1
8,2021-10-23,2.5,3.9,4.5
8,2021-10-23,4.3,3.2,3.8
8,2021-10-23,4.3,4.1,4.8
8,2021-10-23,4.0,4.2,4.4
8,2021-10-23,4.8,3.6,3.7
8,2021-10-23,3.9,4.4,3.6
8,2021-10-23,4.1,4.2,4.1
8,2021-10-24,4.8,4.4,4.7
8,2021-10-24,3.8,4.7,4.3
8,2021-10-24,3.9,3.9,4.2
8,2021-10-24,3.8,5.0,4.8
8,2021-10-24,5.0,4.6,3.3
8,2021-10-24,3.1,4.1,4.4
8,2021-10-24,3.6,4.5,3.7
8,2021-10-24,4.5,3.9,3.6
8,2021-10-24,3.8,3.9,4.2
8,2021-10-24,3.0,4.7,4.3
8,2021-10-24,4.3,4.8,4.4
8,2021-10-24,3.8,4.4,4.0
8,2021-10-24,5.0,4.1,3.7
8,2021-10-24,4.1,4.0,3.6
8,2021-10-24,4.0,5.0,4.5
8,2021-10-24,4.8,3.5,4.4
8,2021-10-24,3.8,4.0,4.7
8,2021-10-24,4.6,4.6,5.0
8,2021-10-24,4.5,3.9,4.0
8,2021-10-24,4.7,4.5,3.9
8,2021-10-24,3.8,3.1,3.3
8,2021-10-24,3.9,3.2,4.6
8,2021-10-24,3.3,3.9,3.6
8,2021-10-24,4.7,4.5,4.1
8,2021-10-24,3.1,5.0,3.9
8,2021-10-24,3.7,3.8,4.8
8,2021-10-24,5.0,4.3,4.2
8,2021-10-24,4.0,3.6,4.3
8,2021-10-24,4.4,3.8,3.4
8,2021-10-24,4.2,4.8,3.5
8,2021-10-24,3.9,4.2,4.7
8,2021-10-24,4.1,4.6,4.3
8,2021-10-24,3.4,3.9,3.8
8,2021-10-24,4.2,3.5,4.9
8,2021-10-24,4.6,4.0,3.5
8,2021-10-24,4.4,4.0,4.8
8,2021-10-24,4.0,3.9,4.4
8,2021-10-24,4.7,5.0,4.2
8,2021-10-24,3.7,4.3,4.1
8,2021-10-24,3.4,3.8,3.5
8,2021-10-24,4.0,4.2,5.0
8,2021-10-24,3.8,4.2,4.5
8,2021-10-24,4.3,3.7,3.9
8,2021-10-24,3.7,4.2,4.7
8,2021-10-24,3.5,4.0,3.9
8,2021-10-24,4.0,4.4,4.1
8,2021-10-24,4.0,5.0,4.4
8,2021-10-24,4.5,4.3,4.6
8,2021-10-24,4.0,4.6,4.0
8,2021-10-24,3.5,4.2,4.1
8,2021-10-24,3.9,4.0,3.5
8,2021-10-24,4.5,4.0,4.6
8,2021-10-24,3.5,3.5,4.3
8,2021-10-24,3.0,4.5,3.7
8,2021-10-24,3.9,3.6,4.5
8,2021-10-24,4.7,4.5,4.5
8,2021-10-24,4.1,5.0,4.1
8,2021-10-24,4.3,4.6,4.9
8,2021-10-25,4.3,4.8,4.6
8,2021-10-25,4.5,3.9,4.9
8,2021-10-25,3.7,3.9,4.7
8,2021-10-25,3.7,3.7,2.8
8,2021-10-25,4.8,4.0,4.3
8,2021-10-25,4.2,3.6,4.9
8,2021-10-25,3.6,4.4,4.3
8,2021-10-25,3.1,4.2,4.2
8,2021-10-25,4.3,4.3,3.4
8,2021-10-25,4.5,4.4,4.2
8,2021-10-25,4.3,4.6,3.9
8,2021-10-25,4.4,4.3,5.0
8,2021-10-25,4.1,4.3,4.4
8,2021-10-25,4.0,4.2,4.0
8,2021-10-25,3.6,3.6,4.2
8,2021-10-25,3.7,3.8,3.5
8,2021-10-25,4.1,4.1,4.9
8,2021-10-25,4.0,4.8,4.1
8,2021-10-25,3.3,3.8,4.5
8,2021-10-25,2.6,4.4,4.4
8,2021-10-25,5.0,4.8,3.7
8,2021-10-25,4.5,5.0,4.4
8,2021-10-25,4.9,4.4,4.4
8,2021-10-25,3.2,3.2,5.0
8,2021-10-25,4.0,4.1,3.5
8,2021-10-25,3.9,4.3,4.2
8,2021-10-25,4.6,3.8,5.0
8,2021-10-25,4.0,4.9,3.6
8,2021-10-25,4.4,4.2,3.9
8,2021-10-25,3.8,3.9,4.1
8,2021-10-25,4.8,4.3,4.4
8,2021-10-25,4.9,4.1,4.2
8,2021-10-25,3.8,4.7,4.1
8,2021-10-25,4.1,4.4,4.0
8,2021-10-25,4.3,4.6,3.8
8,2021-10-25,4.0,4.3,4.6
8,2021-10-25,4.5,4.7,3.8
8,2021-10-25,4.3,4.7,4.3
8,2021-10-25,4.0,3.5,3.7
8,2021-10-25,4.8,4.8,3.6
8,2021-10-25,4.1,3.2,4.1
8,2021-10-25,3.7,4.2,4.1
8,2021-10-25,4.1,3.5,3.9
8,2021-10-25,3.6,4.1,4.0
8,2021-10-25,4.7,3.4,4.5
8,2021-10-25,3.5,3.8,4.6
8,2021-10-25,4.2,4.2,3.8
8,2021-10-25,4.0,4.0,4.4
8,2021-10-25,3.4,3.6,3.8
8,2021-10-25,3.3,3.9,4.1
8,2021-10-25,4.3,3.6,3.8
8,2021-10-25,4.4,3.5,4.3
8,2021-10-25,2.9,4.2,5.0
8,2021-10-25,3.3,3.7,4.7
8,2021-10-25,4.7,4.6,4.1
8,2021-10-25,4.2,4.6,4.0
8,2021-10-25,3.7,4.4,4.5
8,2021-10-26,4.5,4.5,4.5
8,2021-10-26,3.8,3.9,3.7
8,2021-10-26,3.0,3.3,3.7
8,2021-10-26,3.6,3.7,4.0
8,2021-10-26,4.4,3.4,4.3
8,2021-10-26,3.2,4.2,4.8
8,2021-10-26,4.5,4.4,3.8
8,2021-10-26,4.9,5.0,4.0
8,2021-10-26,4.1,3.8,4.6
8,2021-10-26,4.5,4.1,4.1
8,2021-10-26,4.7,3.8,3.9
8,2021-10-26,5.0,3.5,4.2
8,2021-10-26,4.7,2.9,4.7
8,2021-10-26,3.9,3.3,4.6
8,2021-10-26,3.6,4.7,5.0
8,2021-10-26,4.3,3.1,4.2
8,2021-10-26,4.0,5.0,3.9
8,2021-10-26,4.3,4.4,5.0
8,2021-10-26,4.1,4.4,4.3
8,2021-10-26,4.1,4.1,4.1
8,2021-10-26,4.5,4.0,4.4
8,2021-10-26,4.0,3.3,3.8
8,2021-10-26,4.4,4.3,3.4
8,2021-10-26,4.5,4.5,3.8
8,2021-10-26,3.7,4.0,4.7
8,2021-10-26,3.5,4.3,4.0
8,2021-10-26,3.8,4.3,3.9
8,2021-10-26,5.0,4.8,4.3
8,2021-10-26,3.9,3.1,4.2
8,2021-10-26,4.6,4.1,5.0
8,2021-10-26,4.8,4.0,4.7
8,2021-10-26,4.7,4.3,4.0
8,2021-10-26,4.1,4.4,3.0
8,2021-10-26,4.7,3.8,4.7
8,2021-10-26,4.7,3.9,4.5
8,2021-10-26,4.1,3.9,4.1
8,2021-10-26,3.9,3.9,4.0
8,2021-10-26,4.1,3.9,3.7
8,2021-10-26,4.0,4.1,3.8
8,2021-10-26,4.5,3.9,4.5
8,2021-10-26,4.3,4.0,3.7
8,2021-10-26,4.3,3.4,4.0
8,2021-10-26,4.4,4.7,4.2
8,2021-10-26,4.6,4.3,3.2
8,2021-10-26,4.2,3.3,4.2
8,2021-10-26,3.3,3.1,2.9
8,2021-10-26,4.8,4.1,4.1
8,2021-10-26,4.0,3.7,4.3
8,2021-10-26,2.9,3.6,4.1
8,2021-10-26,4.2,5.0,4.2
8,2021-10-26,5.0,3.6,4.1
8,2021-10-26,4.3,3.4,3.5
8,2021-10-26,3.2,4.3,4.2
8,2021-10-26,3.6,4.3,3.6
8,2021-10-26,3.8,3.6,4.3
8,2021-10-26,4.3,3.8,4.7
8,2021-10-26,3.7,4.6,4.1
8,2021-10-27,3.5,4.1,4.8
8,2021-10-27,2.8,3.8,4.0
8,2021-10-27,4.4,4.6,4.2
8,2021-10-27,3.6,4.7,4.5
8,2021-10-27,4.1,4.8,5.0
8,2021-10-27,4.5,4.1,4.1
8,2021-10-27,4.1,4.8,3.2
8,2021-10-27,4.1,4.4,3.9
8,2021-10-27,4.9,4.3,4.0
8,2021-10-27,4.3,5.0,4.0
8,2021-10-27,4.5,3.3,4.9
8,2021-10-27,4.5,3.7,5.0
8,2021-10-27,5.0,3.7,4.4
8,2021-10-27,4.2,4.4,3.2
8,2021-10-27,3.4,4.5,3.6
8,2021-10-27,3.8,4.1,4.3
8,2021-10-27,3.8,4.2,3.9
8,2021-10-27,4.6,2.9,3.7
8,2021-10-27,3.8,5.0,4.0
8,2021-10-27,3.9,4.1,4.0
8,2021-10-27,4.0,4.1,4.5
8,2021-10-27,4.3,4.4,3.5
8,2021-10-27,4.0,4.3,3.5
8,2021-10-27,4.3,3.4,4.2
8,2021-10-27,4.5,3.8,4.2
8,2021-10-27,5.0,4.0,3.2
8,2021-10-27,4.6,4.5,3.5
8,2021-10-27,3.3,4.8,3.7
8,2021-10-27,3.3,5.0,3.7
8,2021-10-27,3.4,3.9,4.2
8,2021-10-27,4.2,4.0,3.5
8,2021-10-27,4.0,5.0,3.5
8,2021-10-27,4.0,4.4,3.7
8,2021-10-27,3.2,3.5,3.7
8,2021-10-27,4.6,4.2,3.8
8,2021-10-27,4.7,4.4,3.9
8,2021-10-27,3.7,3.8,4.0
8,2021-10-27,4.1,3.6,3.5
8,2021-10-27,4.5,4.8,4.1
8,2021-10-27,4.7,4.4,5.0
8,2021-10-27,5.0,3.9,4.4
8,2021-10-27,3.1,3.3,4.6
8,2021-10-27,3.4,4.1,3.5
8,2021-10-27,4.0,4.9,4.9
8,2021-10-27,4.3,4.7,4.2
8,2021-10-27,4.6,4.3,3.8
8,2021-10-27,3.7,4.8,3.5
8,2021-10-27,3.9,2.7,3.9
8,2021-10-27,4.5,4.2,5.0
8,2021-10-27,4.0,4.0,3.9
8,2021-10-27,4.5,4.1,4.3
8,2021-10-27,2.9,5.0,4.0
8,2021-10-27,4.0,4.5,3.9
8,2021-10-27,3.8,4.2,4.8
8,2021-10-27,3.4,4.3,4.3
8,2021-10-27,3.9,4.1,3.8
8,2021-10-27,4.1,4.5,4.1
8,2021-10-29,3.2,3.8,3.5
8,2021-10-29,4.1,3.6,3.5
8,2021-10-29,4.9,3.9,3.9
8,2021-10-29,4.6,3.4,4.1
8,2021-10-29,4.3,3.9,4.4
8,2021-10-29,4.5,4.0,5.0
8,2021-10-29,3.9,4.0,5.0
8,2021-10-29,4.5,3.7,4.2
8,2021-10-29,3.6,3.7,3.3
8,2021-10-29,3.5,3.4,3.9
8,2021-10-29,4.0,4.0,3.5
8,2021-10-29,3.5,4.0,3.9
8,2021-10-29,4.7,4.7,3.6
8,2021-10-29,5.0,4.0,3.9
8,2021-10-29,3.8,4.1,3.4
8,2021-10-29,3.3,3.5,3.9
8,2021-10-29,4.1,4.3,4.1
8,2021-10-29,4.6,3.9,4.5
8,2021-10-29,3.6,4.1,4.7
8,2021-10-29,4.1,3.8,4.0
8,2021-10-29,3.7,4.3,4.7
8,2021-10-29,4.0,4.2,3.3
8,2021-10-29,3.9,2.6,3.9
8,2021-10-29,3.6,4.3,3.6
8,2021-10-29,3.8,4.1,4.1
8,2021-10-29,3.8,4.1,3.9
8,2021-10-29,5.0,4.2,4.4
8,2021-10-29,4.4,3.6,4.3
8,2021-10-29,4.4,4.8,3.5
8,2021-10-29,4.9,4.4,4.4
8,2021-10-29,4.2,3.6,4.2
8,2021-10-29,5.0,3.9,3.4
8,2021-10-29,4.6,4.1,4.1
8,2021-10-29,4.8,4.3,3.9
8,2021-10-29,4.7,3.6,4.6
8,2021-10-29,4.9,4.8,4.2
8,2021-10-29,4.0,4.3,4.9
8,2021-10-29,4.2,3.8,3.5
8,2021-10-29,4.8,3.6,3.7
8,2021-10-29,4.2,4.4,3.8
8,2021-10-29,4.7,5.0,3.9
8,2021-10-29,4.4,4.4,3.4
8,2021-10-29,4.2,5.0,4.3
8,2021-10-29,3.5,4.0,4.5
8,2021-10-29,4.0,4.0,4.2
8,2021-10-29,3.8,4.8,5.0
8,2021-10-29,4.4,4.3,4.1
8,2021-10-29,4.0,4.5,4.4
8,2021-10-29,3.6,4.0,3.9
8,2021-10-29,4.3,4.2,4.0
8,2021-10-29,4.1,5.0,4.8
8,2021-10-29,3.4,4.3,4.8
8,2021-10-29,4.7,4.4,4.2
8,2021-10-29,4.1,3.7,3.9
8,2021-10-29,4.1,4.1,4.5
8,2021-10-29,4.6,4.3,4.0
8,2021-10-29,4.7,4.1,3.6
8,2021-10-30,4.9,3.8,4.5
8,2021-10-30,4.3,4.2,4.6
8,2021-10-30,3.9,3.4,4.5
8,2021-10-30,3.6,4.7,3.8
8,2021-10-30,4.4,3.9,4.5
8,2021-10-30,4.2,3.9,4.0
8,2021-10-30,4.3,3.7,5.0
8,2021-10-30,4.2,3.3,3.8
8,2021-10-30,3.6,3.7,4.9
8,2021-10-30,4.3,3.0,4.3
8,2021-10-30,3.5,3.6,3.9
8,2021-10-30,4.4,3.2,3.6
8,2021-10-30,4.3,4.2,4.6
8,2021-10-30,4.1,3.8,4.3
8,2021-10-30,4.6,4.2,4.1
8,2021-10-30,3.9,3.8,3.5
8,2021-10-30,4.3,5.0,4.1
8,2021-10-30,3.4,4.0,3.9
8,2021-10-30,4.7,4.6,5.0
8,2021-10-30,3.8,3.8,4.4
8,2021-10-30,4.1,4.4,3.4
8,2021-10-30,4.3,3.7,4.4
8,2021-10-30,4.6,3.2,4.7
8,2021-10-30,2.9,3.6,4.1
8,2021-10-30,3.8,4.2,4.4
8,2021-10-30,3.6,4.2,3.8
8,2021-10-30,3.7,4.5,4.6
8,2021-10-30,3.7,3.8,4.5
8,2021-10-30,4.3,5.0,4.0
8,2021-10-30,3.8,4.4,4.6
8,2021-10-30,4.5,5.0,4.4
8,2021-10-30,4.7,4.2,4.7
8,2021-10-30,4.8,4.6,4.0
8,2021-10-30,3.5,4.8,3.6
8,2021-10-30,4.0,5.0,4.2
8,2021-10-30,4.6,4.1,4.2
8,2021-10-30,3.4,3.4,3.0
8,2021-10-30,4.4,4.1,4.1
8,2021-10-30,4.4,3.9,4.0
8,2021-10-30,3.9,4.0,3.9
8,2021-10-30,4.2,5.0,4.4
8,2021-10-30,5.0,4.2,4.0
8,2021-10-30,3.3,4.6,3.2
8,2021-10-30,4.0,4.1,3.6
8,2021-10-30,4.0,4.4,3.9
8,2021-10-30,4.0,5.0,4.8
8,2021-10-30,4.2,3.9,3.9
8,2021-10-30,3.5,4.6,3.3
8,2021-10-30,3.9,4.4,4.4
8,2021-10-30,4.6,4.3,4.9
8,2021-10-30,4.9,4.8,3.7
8,2021-10-30,3.9,3.6,4.9
8,2021-10-30,3.9,4.2,4.2
8,2021-10-30,3.9,3.7,3.4
8,2021-10-30,3.7,3.4,5.0
8,2021-10-30,4.0,4.5,3.9
8,2021-10-30,4.7,4.5,3.6
8,2021-10-31,3.5,3.6,4.3
8,2021-10-31,3.9,4.0,3.4
8,2021-10-31,4.0,3.0,4.2
8,2021-10-31,4.3,4.1,3.5
8,2021-10-31,3.6,3.5,3.5
8,2021-10-31,3.8,2.9,3.6
8,2021-10-31,4.4,3.5,3.8
8,2021-10-31,4.3,4.2,3.0
8,2021-10-31,4.9,4.4,4.3
8,2021-10-31,4.3,3.9,3.3
8,2021-10-31,4.0,3.0,5.0
8,2021-10-31,3.8,4.2,2.6
8,2021-10-31,2.9,4.0,3.9
8,2021-10-31,4.3,3.2,4.5
8,2021-10-31,4.3,3.0,4.5
8,2021-10-31,4.6,4.3,3.5
8,2021-10-31,4.2,3.7,4.3
8,2021-10-31,4.3,4.9,4.3
8,2021-10-31,4.2,3.5,4.9
8,2021-10-31,5.0,4.0,4.6
8,2021-10-31,4.5,4.1,4.1
8,2021-10-31,4.7,3.9,4.0
8,2021-10-31,4.3,5.0,4.1
8,2021-10-31,4.1,3.6,3.9
8,2021-10-31,4.6,4.0,4.6
8,2021-10-31,4.3,3.8,3.7
8,2021-10-31,4.5,4.5,3.7
8,2021-10-31,4.4,4.1,4.9
8,2021-10-31,4.8,4.1,4.3
8,2021-10-31,4.5,4.5,4.8
8,2021-10-31,4.6,3.7,3.9
8,2021-10-31,4.6,3.8,4.2
8,2021-10-31,3.5,3.4,2.8
8,2021-10-31,3.7,4.2,3.5
8,2021-10-31,4.1,5.0,5.0
8,2021-10-31,4.2,5.0,4.6
8,2021-10-31,4.1,4.6,4.1
8,2021-10-31,3.6,4.0,4.3
8,2021-10-31,3.4,4.0,4.0
8,2021-10-31,4.4,4.1,3.1
8,2021-10-31,4.4,5.0,3.8
8,2021-10-31,3.8,4.4,3.4
8,2021-10-31,4.8,3.5,3.6
8,2021-10-31,3.9,3.8,4.0
8,2021-10-31,4.9,4.3,4.2
8,2021-10-31,3.3,3.8,4.5
8,2021-10-31,3.1,3.9,3.5
8,2021-10-31,3.6,3.8,4.0
8,2021-10-31,4.3,4.3,3.0
8,2021-10-31,4.0,4.4,4.6
8,2021-10-31,4.3,4.2,4.3
8,2021-10-31,4.1,3.8,5.0
8,2021-10-31,4.5,4.8,4.7
8,2021-10-31,3.9,3.7,4.8
8,2021-10-31,3.6,4.1,3.4
8,2021-10-31,3.7,3.5,3.9
8,2021-10-31,5.0,4.2,4.2
